SMILES
O
CCO
CC
C
CO
CC(=O)O
c1ccccc1
C1CCCCC1
C1=CC=CC=C1
CNC
CN
CCN
CCCN
CCCC
CCOCC
CC(=O)OC
CC(=O)N
O=C=O
CS
CCl
CF
CBr
C1=CC=CN=C1
C1=CC=CC=N1
C1=CN=CN=C1
CC(C)O
CC(C)C
CC(C)(C)O
CCOCCO
CCN(CC)CC
CC(C)OCC
c1ccncc1
c1cccnc1
c1ccccc1O
C1CCOCC1
C1CCNCC1
CC(=O)C
CC(=O)CC
CCC(=O)O
CC(C)=O
CCOC(=O)C
C1=CC=CC=C1O
C1=CC=C(C=C1)O
C1=CC=CC=C1C(=O)O
C1=CC=CC=C1N
CC(C)C(=O)O
CCOC
CCCO
CCCCO
CC(C)CO
CCNCC
